iter	Passed	Remaining
0	140	281224
1	144	144500
2	148	98768
3	152	76071
4	155	62154
5	159	52968
6	162	46265
7	165	41281
8	168	37358
9	171	34190
10	175	31713
11	178	29653
12	182	27827
13	184	26224
14	188	24908
15	191	23795
16	196	22874
17	199	21912
18	201	21043
19	205	20302
20	208	19621
21	211	19010
22	214	18446
23	217	17942
24	221	17509
25	254	19357
26	258	18911
27	262	18477
28	265	18057
29	269	17692
30	272	17325
31	275	16963
32	278	16628
33	282	16309
34	285	16014
35	288	15745
36	291	15483
37	294	15229
38	297	14979
39	300	14738
40	303	14500
41	306	14300
42	310	14125
43	313	13933
44	316	13758
45	319	13588
46	322	13419
47	327	13299
48	330	13142
49	333	13009
50	336	12849
51	339	12710
52	343	12630
53	347	12507
54	350	12389
55	353	12263
56	357	12176
57	360	12065
58	363	11953
59	366	11842
60	369	11734
61	372	11631
62	375	11544
63	378	11456
64	381	11363
65	385	11282
66	388	11213
67	392	11141
68	395	11063
69	398	10978
70	401	10897
71	404	10822
72	407	10750
73	410	10685
74	413	10621
75	417	10572
76	422	10552
77	425	10492
78	429	10448
79	432	10385
80	435	10326
81	438	10260
82	442	10217
83	446	10180
84	448	10113
85	451	10055
86	454	9994
87	457	9950
88	462	9922
89	465	9879
90	468	9820
91	470	9764
92	473	9709
93	476	9656
94	479	9606
95	482	9563
96	485	9521
97	488	9473
98	490	9425
99	493	9377
100	496	9333
101	499	9289
102	502	9245
103	504	9204
104	507	9158
105	509	9111
106	512	9072
107	515	9037
108	518	9001
109	521	8961
110	524	8922
111	526	8879
112	529	8843
113	532	8817
114	535	8782
115	538	8742
116	540	8702
117	543	8667
118	546	8639
119	549	8613
120	552	8579
121	555	8545
122	557	8512
123	560	8480
124	563	8453
125	566	8428
126	569	8397
127	572	8366
128	575	8339
129	577	8309
130	580	8282
131	583	8255
132	585	8224
133	588	8197
134	591	8173
135	594	8146
136	597	8122
137	600	8098
138	602	8071
139	605	8047
140	608	8026
141	611	8002
142	614	7983
143	617	7962
144	620	7940
145	623	7918
146	626	7899
147	630	7885
148	633	7871
149	636	7852
150	639	7833
151	642	7811
152	645	7794
153	648	7775
154	651	7755
155	654	7734
156	657	7712
157	659	7692
158	662	7671
159	665	7649
160	668	7633
161	671	7614
162	673	7591
163	676	7573
164	678	7550
165	681	7530
166	684	7516
167	687	7496
168	690	7477
169	692	7457
170	695	7442
171	698	7427
172	701	7412
173	704	7397
174	707	7379
175	710	7363
176	713	7345
177	716	7329
178	719	7318
179	722	7304
180	725	7289
181	728	7273
182	731	7258
183	734	7247
184	736	7230
185	739	7213
186	742	7196
187	744	7180
188	747	7163
189	750	7149
190	753	7138
191	756	7122
192	758	7104
193	761	7087
194	764	7079
195	768	7070
196	771	7057
197	773	7041
198	776	7025
199	779	7012
200	781	6997
201	784	6983
202	787	6974
203	790	6960
204	793	6947
205	795	6931
206	798	6916
207	801	6902
208	804	6893
209	807	6883
210	810	6869
211	812	6855
212	815	6841
213	818	6828
214	821	6819
215	824	6810
216	827	6801
217	830	6790
218	833	6777
219	836	6766
220	839	6757
221	842	6743
222	844	6730
223	847	6719
224	850	6707
225	853	6696
226	856	6687
227	858	6675
228	861	6662
229	864	6651
230	867	6642
231	870	6631
232	873	6620
233	875	6608
234	878	6596
235	881	6591
236	884	6579
237	887	6570
238	890	6559
239	892	6548
240	895	6538
241	898	6527
242	901	6515
243	903	6505
244	906	6496
245	909	6486
246	912	6475
247	915	6464
248	917	6453
249	920	6444
250	923	6436
251	926	6425
252	928	6414
253	931	6404
254	934	6395
255	937	6385
256	940	6380
257	943	6372
258	946	6365
259	952	6372
260	955	6369
261	958	6360
262	961	6351
263	964	6341
264	967	6332
265	969	6323
266	972	6315
267	975	6307
268	978	6298
269	981	6288
270	984	6277
271	986	6267
272	989	6260
273	992	6251
274	995	6242
275	997	6233
276	1000	6224
277	1003	6214
278	1006	6208
279	1009	6201
280	1012	6192
281	1014	6183
282	1017	6174
283	1020	6164
284	1023	6158
285	1026	6150
286	1029	6142
287	1031	6132
288	1034	6124
289	1037	6115
290	1039	6107
291	1042	6100
292	1045	6092
293	1048	6084
294	1051	6075
295	1053	6066
296	1057	6061
297	1059	6053
298	1062	6044
299	1064	6034
300	1067	6026
301	1070	6017
302	1073	6010
303	1076	6004
304	1078	5995
305	1081	5988
306	1084	5981
307	1087	5974
308	1090	5968
309	1093	5961
310	1096	5953
311	1098	5945
312	1101	5936
313	1104	5928
314	1106	5920
315	1109	5914
316	1112	5906
317	1115	5898
318	1117	5890
319	1120	5882
320	1123	5876
321	1126	5870
322	1129	5863
323	1131	5855
324	1135	5849
325	1138	5844
326	1141	5839
327	1144	5835
328	1147	5828
329	1150	5822
330	1153	5817
331	1156	5811
332	1160	5809
333	1163	5802
334	1166	5796
335	1169	5790
336	1172	5786
337	1175	5782
338	1178	5775
339	1181	5770
340	1184	5764
341	1188	5759
342	1191	5755
343	1194	5749
344	1197	5744
345	1200	5739
346	1203	5733
347	1206	5727
348	1209	5722
349	1212	5717
350	1215	5711
351	1218	5704
352	1221	5696
353	1223	5690
354	1226	5684
355	1229	5679
356	1232	5673
357	1235	5666
358	1238	5659
359	1240	5651
360	1243	5645
361	1246	5641
362	1249	5634
363	1252	5627
364	1254	5621
365	1257	5614
366	1261	5611
367	1264	5605
368	1266	5599
369	1269	5593
370	1272	5586
371	1275	5580
372	1278	5576
373	1281	5570
374	1284	5564
375	1286	5558
376	1289	5551
377	1292	5545
378	1295	5540
379	1298	5534
380	1300	5527
381	1303	5522
382	1306	5515
383	1309	5510
384	1312	5505
385	1315	5499
386	1318	5493
387	1327	5515
388	1335	5530
389	1340	5534
390	1345	5536
391	1348	5533
392	1352	5530
393	1355	5526
394	1358	5521
395	1362	5519
396	1365	5514
397	1368	5510
398	1371	5505
399	1375	5501
400	1378	5497
401	1381	5492
402	1384	5487
403	1387	5480
404	1390	5474
405	1393	5470
406	1396	5465
407	1399	5459
408	1402	5455
409	1405	5450
410	1408	5446
411	1411	5442
412	1414	5437
413	1417	5431
414	1420	5425
415	1423	5420
416	1426	5415
417	1429	5410
418	1432	5405
419	1435	5400
420	1438	5394
421	1441	5390
422	1444	5385
423	1447	5380
424	1450	5375
425	1453	5369
426	1456	5364
427	1459	5358
428	1462	5355
429	1465	5351
430	1468	5346
431	1471	5341
432	1474	5336
433	1478	5334
434	1481	5329
435	1484	5324
436	1487	5319
437	1490	5314
438	1493	5310
439	1496	5306
440	1499	5300
441	1502	5294
442	1504	5288
443	1507	5283
444	1510	5278
445	1513	5273
446	1516	5268
447	1519	5263
448	1521	5257
449	1524	5251
450	1527	5246
451	1530	5242
452	1533	5237
453	1536	5232
454	1539	5226
455	1541	5220
456	1544	5215
457	1547	5210
458	1550	5204
459	1552	5198
460	1555	5192
461	1558	5187
462	1561	5182
463	1564	5178
464	1567	5172
465	1569	5167
466	1572	5161
467	1575	5156
468	1577	5150
469	1581	5147
470	1584	5142
471	1586	5136
472	1589	5132
473	1592	5127
474	1595	5123
475	1598	5118
476	1601	5113
477	1604	5107
478	1606	5102
479	1609	5096
480	1612	5091
481	1615	5088
482	1618	5083
483	1621	5078
484	1623	5072
485	1626	5066
486	1629	5060
487	1632	5056
488	1635	5052
489	1638	5047
490	1641	5043
491	1643	5038
492	1647	5034
493	1649	5029
494	1652	5024
495	1655	5019
496	1657	5013
497	1660	5008
498	1663	5004
499	1666	5000
500	1669	4995
501	1672	4990
502	1674	4984
503	1677	4979
504	1680	4976
505	1683	4971
506	1686	4965
507	1689	4961
508	1692	4956
509	1695	4952
510	1698	4949
511	1701	4945
512	1704	4940
513	1707	4936
514	1710	4931
515	1713	4927
516	1716	4923
517	1719	4919
518	1722	4915
519	1725	4911
520	1729	4909
521	1732	4905
522	1735	4901
523	1738	4896
524	1741	4891
525	1743	4886
526	1746	4881
527	1749	4878
528	1752	4873
529	1755	4869
530	1758	4865
531	1761	4861
532	1764	4857
533	1767	4853
534	1770	4848
535	1773	4843
536	1776	4838
537	1778	4833
538	1781	4829
539	1784	4826
540	1787	4821
541	1790	4816
542	1792	4810
543	1795	4805
544	1799	4803
545	1801	4798
546	1804	4793
547	1807	4789
548	1810	4784
549	1813	4780
550	1816	4776
551	1819	4773
552	1822	4769
553	1825	4763
554	1827	4758
555	1830	4753
556	1833	4750
557	1836	4745
558	1839	4740
559	1841	4736
560	1844	4731
561	1847	4726
562	1850	4723
563	1853	4718
564	1856	4714
565	1859	4710
566	1861	4705
567	1864	4700
568	1867	4697
569	1871	4694
570	1874	4690
571	1876	4685
572	1879	4681
573	1882	4677
574	1886	4674
575	1889	4670
576	1891	4665
577	1894	4660
578	1897	4655
579	1900	4652
580	1903	4648
581	1905	4643
582	1908	4638
583	1911	4633
584	1913	4629
585	1917	4626
586	1920	4622
587	1922	4617
588	1932	4629
589	1935	4625
590	1938	4621
591	1940	4616
592	1943	4611
593	1946	4607
594	1949	4602
595	1952	4598
596	1955	4594
597	1957	4589
598	1960	4585
599	1963	4581
600	1966	4577
601	1969	4573
602	1971	4568
603	1974	4564
604	1977	4559
605	1980	4554
606	1982	4550
607	1985	4546
608	1988	4542
609	1991	4538
610	1994	4533
611	1997	4529
612	2000	4525
613	2003	4522
614	2006	4517
615	2008	4513
616	2011	4508
617	2013	4503
618	2017	4500
619	2020	4496
620	2022	4492
621	2025	4487
622	2028	4482
623	2030	4477
624	2033	4473
625	2036	4469
626	2038	4464
627	2041	4460
628	2044	4455
629	2046	4451
630	2049	4446
631	2052	4442
632	2055	4438
633	2057	4433
634	2060	4429
635	2063	4425
636	2066	4421
637	2069	4418
638	2072	4414
639	2075	4409
640	2077	4404
641	2080	4400
642	2083	4396
643	2086	4393
644	2089	4389
645	2092	4385
646	2095	4381
647	2097	4376
648	2100	4372
649	2103	4369
650	2106	4366
651	2109	4362
652	2112	4358
653	2115	4354
654	2118	4349
655	2121	4346
656	2124	4342
657	2126	4337
658	2129	4332
659	2131	4328
660	2134	4324
661	2138	4321
662	2140	4316
663	2143	4312
664	2145	4308
665	2148	4304
666	2151	4300
667	2154	4296
668	2157	4292
669	2160	4288
670	2162	4283
671	2165	4279
672	2168	4276
673	2171	4272
674	2174	4267
675	2176	4263
676	2179	4259
677	2182	4254
678	2184	4250
679	2188	4247
680	2190	4243
681	2193	4239
682	2196	4235
683	2199	4230
684	2202	4227
685	2204	4223
686	2207	4219
687	2210	4214
688	2212	4210
689	2215	4205
690	2218	4201
691	2221	4198
692	2224	4194
693	2227	4191
694	2230	4188
695	2234	4185
696	2237	4182
697	2240	4179
698	2244	4176
699	2247	4173
700	2250	4170
701	2253	4167
702	2256	4163
703	2259	4159
704	2262	4155
705	2264	4150
706	2267	4146
707	2270	4143
708	2273	4139
709	2275	4135
710	2278	4131
711	2281	4127
712	2284	4123
713	2287	4119
714	2290	4115
715	2292	4111
716	2295	4107
717	2298	4103
718	2300	4099
719	2303	4095
720	2306	4092
721	2309	4088
722	2312	4084
723	2315	4081
724	2318	4077
725	2321	4073
726	2324	4070
727	2327	4066
728	2329	4061
729	2332	4057
730	2334	4053
731	2337	4049
732	2341	4046
733	2343	4042
734	2346	4038
735	2349	4034
736	2351	4030
737	2354	4026
738	2357	4023
739	2360	4019
740	2363	4014
741	2365	4010
742	2368	4007
743	2371	4003
744	2374	3999
745	2377	3996
746	2380	3992
747	2383	3989
748	2386	3986
749	2389	3982
750	2392	3978
751	2395	3975
752	2398	3971
753	2400	3967
754	2403	3962
755	2405	3958
756	2409	3955
757	2411	3952
758	2414	3948
759	2417	3943
760	2419	3939
761	2422	3935
762	2425	3933
763	2428	3929
764	2431	3925
765	2434	3921
766	2436	3917
767	2439	3913
768	2442	3910
769	2445	3906
770	2448	3902
771	2450	3898
772	2453	3894
773	2456	3890
774	2459	3887
775	2461	3883
776	2464	3879
777	2467	3874
778	2469	3870
779	2472	3867
780	2475	3863
781	2478	3860
782	2481	3856
783	2483	3852
784	2486	3849
785	2489	3845
786	2492	3841
787	2495	3838
788	2498	3834
789	2500	3830
790	2504	3827
791	2506	3823
792	2509	3820
793	2512	3816
794	2515	3812
795	2517	3808
796	2520	3804
797	2523	3800
798	2525	3796
799	2528	3792
800	2531	3789
801	2534	3785
802	2537	3782
803	2539	3778
804	2542	3774
805	2546	3772
806	2549	3768
807	2552	3764
808	2554	3761
809	2558	3758
810	2561	3754
811	2564	3751
812	2566	3747
813	2569	3743
814	2572	3740
815	2575	3736
816	2578	3733
817	2581	3730
818	2584	3726
819	2586	3722
820	2589	3718
821	2592	3715
822	2595	3712
823	2598	3708
824	2601	3704
825	2603	3700
826	2606	3696
827	2608	3692
828	2611	3688
829	2614	3685
830	2616	3681
831	2619	3677
832	2622	3673
833	2625	3670
834	2627	3666
835	2630	3662
836	2633	3658
837	2635	3654
838	2638	3651
839	2641	3647
840	2643	3643
841	2647	3640
842	2649	3636
